epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,20.9228,0.87839,0.95435,1.00362,0.63227,0.46667,0.52942,0.17683,2.11551,1.91052,1.57214,0.00179012,0.00179012,0.00179012
108,21.1106,1.00176,0.93845,0.93074,0.56673,0.47993,0.48227,0.17381,2.27095,1.82963,1.69166,0.00178814,0.00178814,0.00178814
109,21.3631,0.8552,0.96391,0.98411,0.56673,0.47993,0.48227,0.17381,2.27095,1.82963,1.69166,0.00178616,0.00178616,0.00178616
110,21.553,0.90681,0.91848,0.97392,0.63765,0.5,0.47826,0.17355,2.26971,1.77037,1.68483,0.00178418,0.00178418,0.00178418
111,21.7358,1.00488,0.94875,1.01823,0.63765,0.5,0.47826,0.17355,2.26971,1.77037,1.68483,0.0017822,0.0017822,0.0017822
112,21.9281,0.93441,0.90528,0.91029,0.55973,0.56667,0.49461,0.20004,2.18094,1.77762,1.68762,0.00178022,0.00178022,0.00178022
113,22.1085,0.96784,0.86741,0.95964,0.55973,0.56667,0.49461,0.20004,2.18094,1.77762,1.68762,0.00177824,0.00177824,0.00177824
114,22.2974,0.83307,0.85863,0.92658,0.83099,0.5,0.59988,0.20324,2.21603,1.76407,1.71024,0.00177626,0.00177626,0.00177626
115,22.4763,0.82104,0.91717,0.914,0.83099,0.5,0.59988,0.20324,2.21603,1.76407,1.71024,0.00177428,0.00177428,0.00177428
116,22.6658,0.89023,0.86603,0.97787,0.63602,0.52449,0.50941,0.21595,2.16578,1.77506,1.70873,0.0017723,0.0017723,0.0017723
117,22.8463,0.79593,0.80983,0.92886,0.63602,0.52449,0.50941,0.21595,2.16578,1.77506,1.70873,0.00177032,0.00177032,0.00177032
118,23.035,0.78427,0.74902,0.95748,0.65203,0.53333,0.55134,0.24053,2.11466,1.71947,1.68888,0.00176834,0.00176834,0.00176834
119,23.2197,0.82359,0.75805,0.92244,0.65203,0.53333,0.55134,0.24053,2.11466,1.71947,1.68888,0.00176636,0.00176636,0.00176636
120,23.4169,0.86119,0.96155,0.95434,0.78763,0.61849,0.63161,0.25245,2.11527,1.59056,1.63675,0.00176438,0.00176438,0.00176438
121,23.6738,0.90832,0.93385,0.99298,0.78763,0.61849,0.63161,0.25245,2.11527,1.59056,1.63675,0.0017624,0.0017624,0.0017624
122,23.8677,0.95727,0.89347,0.93468,0.73683,0.6,0.60142,0.24676,2.17728,1.4281,1.70411,0.00176042,0.00176042,0.00176042
123,24.0461,0.71472,0.83335,0.90346,0.73683,0.6,0.60142,0.24676,2.17728,1.4281,1.70411,0.00175844,0.00175844,0.00175844
124,24.2345,0.92514,0.89681,0.89716,0.81451,0.63333,0.65694,0.25986,2.19574,1.5377,1.78146,0.00175646,0.00175646,0.00175646
125,24.4183,0.83033,0.84762,0.90847,0.81451,0.63333,0.65694,0.25986,2.19574,1.5377,1.78146,0.00175448,0.00175448,0.00175448
126,24.6152,0.91932,0.8858,0.97997,0.8487,0.7,0.71428,0.25478,2.18402,1.52568,1.85091,0.0017525,0.0017525,0.0017525
127,24.8018,0.85104,0.79458,0.94396,0.8487,0.7,0.71428,0.25478,2.18402,1.52568,1.85091,0.00175052,0.00175052,0.00175052
128,24.9982,0.99471,0.88685,0.97192,0.86331,0.63165,0.69917,0.24207,2.17719,1.52621,1.85395,0.00174854,0.00174854,0.00174854
129,25.1779,0.90119,0.85347,0.98888,0.86331,0.63165,0.69917,0.24207,2.17719,1.52621,1.85395,0.00174656,0.00174656,0.00174656
130,25.3704,0.80751,0.75803,0.90749,0.7623,0.63333,0.69097,0.2543,2.05743,1.63503,1.80828,0.00174458,0.00174458,0.00174458
131,25.5483,0.87503,0.82621,0.88586,0.7623,0.63333,0.69097,0.2543,2.05743,1.63503,1.80828,0.0017426,0.0017426,0.0017426
132,25.8122,0.85198,0.7982,0.93805,0.69462,0.63333,0.64059,0.25597,2.01878,1.70593,1.80222,0.00174062,0.00174062,0.00174062
133,26.0018,0.7661,0.76217,0.93907,0.69462,0.63333,0.64059,0.25597,2.01878,1.70593,1.80222,0.00173864,0.00173864,0.00173864
134,26.1943,0.74785,0.80146,0.89098,0.73145,0.6,0.60035,0.23964,1.9858,1.77332,1.80413,0.00173666,0.00173666,0.00173666
135,26.3728,0.86334,0.8296,0.93402,0.73145,0.6,0.60035,0.23964,1.9858,1.77332,1.80413,0.00173468,0.00173468,0.00173468
136,26.5629,0.93633,0.9106,1.02665,0.66934,0.56667,0.54283,0.22584,1.99599,1.75151,1.88717,0.0017327,0.0017327,0.0017327
137,26.7485,0.80082,0.76349,0.89363,0.66934,0.56667,0.54283,0.22584,1.99599,1.75151,1.88717,0.00173072,0.00173072,0.00173072
138,26.9367,0.84932,0.81866,0.94247,0.57409,0.56667,0.51986,0.21918,2.05527,1.74507,1.92991,0.00172874,0.00172874,0.00172874
139,27.1152,0.8888,0.80618,0.96635,0.57409,0.56667,0.51986,0.21918,2.05527,1.74507,1.92991,0.00172676,0.00172676,0.00172676
140,27.3067,0.74118,0.73371,0.8666,0.71372,0.49869,0.56136,0.2353,2.06751,1.61712,1.93298,0.00172478,0.00172478,0.00172478
141,27.4873,0.75675,0.86405,0.9836,0.71372,0.49869,0.56136,0.2353,2.06751,1.61712,1.93298,0.0017228,0.0017228,0.0017228
142,27.6801,0.74899,0.80354,0.90658,0.66209,0.6534,0.66105,0.22844,2.05994,1.54956,1.86361,0.00172082,0.00172082,0.00172082
143,27.8592,0.71481,0.7856,0.9343,0.66209,0.6534,0.66105,0.22844,2.05994,1.54956,1.86361,0.00171884,0.00171884,0.00171884
144,28.1235,0.71601,0.72371,0.96119,0.63328,0.63333,0.61786,0.20478,2.08569,1.97441,1.80315,0.00171686,0.00171686,0.00171686
145,28.3067,0.83112,0.74884,0.94595,0.63328,0.63333,0.61786,0.20478,2.08569,1.97441,1.80315,0.00171488,0.00171488,0.00171488
146,28.4921,0.78296,0.70213,0.91663,0.71758,0.53333,0.54191,0.19321,1.93695,2.52291,1.69395,0.0017129,0.0017129,0.0017129
147,28.6752,0.96459,0.92325,0.973,0.71758,0.53333,0.54191,0.19321,1.93695,2.52291,1.69395,0.00171092,0.00171092,0.00171092
148,28.867,0.86729,0.85441,0.97306,0.66629,0.53333,0.53572,0.18166,1.90655,2.19503,1.63047,0.00170894,0.00170894,0.00170894
149,29.0452,0.68446,0.70219,0.93223,0.66629,0.53333,0.53572,0.18166,1.90655,2.19503,1.63047,0.00170696,0.00170696,0.00170696
150,29.2334,0.78477,0.88173,0.97849,0.68855,0.46667,0.50324,0.21517,2.04139,1.6167,1.68019,0.00170498,0.00170498,0.00170498
151,29.4181,0.75152,0.76405,0.90404,0.68855,0.46667,0.50324,0.21517,2.04139,1.6167,1.68019,0.001703,0.001703,0.001703
152,29.6102,0.69976,0.68236,0.90677,0.69224,0.7,0.63933,0.23546,2.14404,1.33165,1.75082,0.00170102,0.00170102,0.00170102
153,29.7918,0.78889,0.73103,0.92221,0.69224,0.7,0.63933,0.23546,2.14404,1.33165,1.75082,0.00169904,0.00169904,0.00169904
154,29.9787,0.86773,0.87187,1.0076,0.66374,0.7,0.63677,0.22813,2.14919,1.34864,1.77223,0.00169706,0.00169706,0.00169706
155,30.2347,0.88697,0.81698,0.88537,0.66374,0.7,0.63677,0.22813,2.14919,1.34864,1.77223,0.00169508,0.00169508,0.00169508
156,30.4231,0.75886,0.78403,0.93249,0.64489,0.66589,0.57956,0.20365,2.1385,1.39433,1.72354,0.0016931,0.0016931,0.0016931
157,30.6019,0.88142,0.74035,0.92244,0.64489,0.66589,0.57956,0.20365,2.1385,1.39433,1.72354,0.00169112,0.00169112,0.00169112
158,30.7943,0.83708,0.7462,0.99146,0.71642,0.53333,0.53906,0.19615,2.14309,1.60833,1.72951,0.00168914,0.00168914,0.00168914
159,30.9741,0.85097,0.79814,1.00199,0.71642,0.53333,0.53906,0.19615,2.14309,1.60833,1.72951,0.00168716,0.00168716,0.00168716
160,31.1607,0.80184,0.70788,0.91399,0.64016,0.59319,0.50668,0.16683,2.12082,1.67988,1.66437,0.00168518,0.00168518,0.00168518
161,31.3398,0.92586,0.79363,0.93161,0.64016,0.59319,0.50668,0.16683,2.12082,1.67988,1.66437,0.0016832,0.0016832,0.0016832
162,31.5273,0.85657,0.76886,0.98062,0.78028,0.53333,0.58182,0.1924,2.11394,1.50815,1.66069,0.00168122,0.00168122,0.00168122
163,31.7062,0.96247,0.77726,0.92605,0.78028,0.53333,0.58182,0.1924,2.11394,1.50815,1.66069,0.00167924,0.00167924,0.00167924
164,31.8919,0.82853,0.67455,0.90996,0.84796,0.6,0.60494,0.20303,2.23118,1.46561,1.78043,0.00167726,0.00167726,0.00167726
165,32.0695,0.80383,0.73568,0.9226,0.84796,0.6,0.60494,0.20303,2.23118,1.46561,1.78043,0.00167528,0.00167528,0.00167528
166,32.3399,0.86744,0.79554,0.98817,0.80942,0.6,0.5674,0.20661,2.21679,1.39907,1.81034,0.0016733,0.0016733,0.0016733
167,32.5186,0.83716,0.75862,0.88916,0.80942,0.6,0.5674,0.20661,2.21679,1.39907,1.81034,0.00167132,0.00167132,0.00167132
168,32.7061,0.73197,0.6543,0.91069,0.89255,0.6,0.63026,0.21708,2.0885,1.32008,1.7151,0.00166934,0.00166934,0.00166934
169,32.884,0.70548,0.6584,0.8878,0.89255,0.6,0.63026,0.21708,2.0885,1.32008,1.7151,0.00166736,0.00166736,0.00166736
170,33.0702,0.62195,0.683,0.91217,0.90267,0.61868,0.63957,0.23256,2.09184,1.37856,1.71233,0.00166538,0.00166538,0.00166538
171,33.2488,0.71666,0.681,0.87364,0.90267,0.61868,0.63957,0.23256,2.09184,1.37856,1.71233,0.0016634,0.0016634,0.0016634
172,33.4449,0.78769,0.71852,0.91305,0.83003,0.56667,0.62392,0.20763,2.16932,1.38414,1.75367,0.00166142,0.00166142,0.00166142
173,33.6238,0.90674,0.80534,0.9301,0.83003,0.56667,0.62392,0.20763,2.16932,1.38414,1.75367,0.00165944,0.00165944,0.00165944
174,33.8109,0.83387,0.73699,0.91606,0.6177,0.66667,0.60442,0.19585,2.22865,1.52394,1.82708,0.00165746,0.00165746,0.00165746
175,33.9889,0.73961,0.63459,0.91643,0.6177,0.66667,0.60442,0.19585,2.22865,1.52394,1.82708,0.00165548,0.00165548,0.00165548
176,34.1788,0.84992,0.68494,0.92357,0.81277,0.5,0.56706,0.20516,2.21768,1.70301,1.83156,0.0016535,0.0016535,0.0016535
177,34.4301,0.71467,0.62122,0.8857,0.81277,0.5,0.56706,0.20516,2.21768,1.70301,1.83156,0.00165152,0.00165152,0.00165152
178,34.6204,0.65639,0.70113,0.91156,0.71024,0.57211,0.58275,0.20834,2.2204,1.77822,1.81949,0.00164954,0.00164954,0.00164954
179,34.8002,0.68243,0.68452,0.88769,0.71024,0.57211,0.58275,0.20834,2.2204,1.77822,1.81949,0.00164756,0.00164756,0.00164756
180,34.9887,0.68195,0.65645,0.81761,0.55017,0.63333,0.55382,0.18002,2.21241,1.74618,1.74838,0.00164558,0.00164558,0.00164558
181,35.1707,0.76298,0.61687,0.9283,0.55017,0.63333,0.55382,0.18002,2.21241,1.74618,1.74838,0.0016436,0.0016436,0.0016436
182,35.3614,0.81533,0.70893,0.92086,0.57583,0.56667,0.51762,0.17297,2.22226,1.60241,1.63315,0.00164162,0.00164162,0.00164162
183,35.5404,0.85028,0.74424,0.97083,0.57583,0.56667,0.51762,0.17297,2.22226,1.60241,1.63315,0.00163964,0.00163964,0.00163964
